Name of KAG,Fund Name,Value of Fund
Caceis Luxembourg,BG Actions Europe Equities,587382346.99
Caceis Luxembourg,BG Actions Europe Equities,587382346.99
Caceis Luxembourg,BG Actions Europe Equities,587382346.99
Caceis Luxembourg,BG Actions Europe Equities,587382346.99
INVESCO,Mediolanum,1519029089.72
INVESCO,Mediolanum,1519029089.72
INVESCO,Mediolanum,1519029089.72
INVESCO,Mediolanum,1519029089.72
Caceis Luxembourg,BGS - Invesco Real Assets Return,107116384.56
Caceis Luxembourg,BGS - Invesco Real Assets Return,107116384.56
Caceis Luxembourg,BGS - Invesco Real Assets Return,107116384.56
Caceis Luxembourg,BGS - Invesco Real Assets Return,107116384.56
